Title,Author,Year Published,Average GoodReads Rating,Number of Pages
Cult Classic,Sloane Crosley,2022,3.27,288
Dracula,Tania Zamorsky,2007,4.02,160
The Life-Changing Science of Detecting Bullshit,John V. Petrocelli,2021,3.47,336
"Sloppy Firsts (Jessica Darling, #1)",Megan McCafferty,2001,3.95,298
"My Escape from Hollywood: Unapologetic, Unfiltered, and Unashamed",Maitland Ward,2022,3.64,255
How Did You Get This Number: Essays,Sloane Crosley,2010,3.53,274
Look Alive Out There,Sloane Crosley,2018,3.77,256
The Inexplicable Universe: Unsolved Mysteries,Neil deGrasse Tyson,2014,4.16,4
Helgoland: Making Sense of the Quantum Revolution,Carlo Rovelli,2021,4.08,233
"The Love Prescription: Seven Days to More Intimacy, Connection, and Joy",John M. Gottman,2022,4.45,208
The In-Between: Unforgettable Encounters During Life's Final Moments,Hadley Vlahos,2023,4.49,288
"Brave, Not Perfect: Fear Less, Fail More, and Live Bolder",Reshma Saujani,2019,3.86,208
We All Want Impossible Things,Catherine Newman,2022,3.96,224
Million Dollar Weekend: The Surprisingly Simple Way to Launch a 7-Figure Business in 48 Hours,Noah Kagan,2024,4.12,240
Only Say Good Things: Surviving Playboy and Finding Myself,Crystal Hefner,2024,3.71,240
Pay Up: The Future of Women and Work (And Why It's Different Than You Think),Reshma Saujani,2022,3.59,224
The Perfection Trap: Embracing the Power of Good Enough,Thomas Curran,2023,3.95,288
Stories I Might Regret Telling You: A Memoir,Martha Wainwright,2022,3.98,256
Ejaculate Responsibly: A Whole New Way to Think About Abortion,Gabrielle Stanley Blair,2022,4.49,137
Good Inside: A Practical Guide to Resilient Parenting Prioritizing Connection Over Correction,Becky   Kennedy,2022,4.5,336
Opening Our Hearts Transforming Our Losses,Al-Anon Family Groups,2007,4.37,201
"A Living Remedy: A Memoir – A Daughter's Narrative of Adoption, Class Inequality, and Grief in America",Nicole Chung,2023,3.99,256
Be Useful: Seven Tools for Life,Arnold Schwarzenegger,2023,4.04,288
Girls of a Certain Age,Maria Adelmann,2021,3.41,240
The God Equation: The Quest for a Theory of Everything,Michio Kaku,2021,4.11,225
Relentless: From Good to Great to Unstoppable (Tim Grover Winning Series),Tim S. Grover,2014,3.95,233
