Title,Author,Year Published,Average GoodReads Rating,Number of Pages
The Happiness of Pursuit: Finding the Quest That Will Bring Purpose to Your Life,Chris Guillebeau,2014,3.7,304
Faith: A Journey For All,Jimmy Carter,2018,3.88,5
"Thrive: The Third Metric to Redefining Success and Creating a Life of Well-Being, Wisdom, and Wonder",Arianna Huffington,2014,3.69,368
A Full Life: Reflections at Ninety,Jimmy Carter,2015,3.87,257
Horror Stories: A Memoir,Liz Phair,2019,3.69,261
Serving the Servant: Remembering Kurt Cobain,Danny Goldberg,2019,3.95,291
Musicophilia: Tales of Music and the Brain,Oliver Sacks,2007,3.95,400
"Move Fast and Break Things: How Facebook, Google, and Amazon Cornered Culture and Undermined Democracy",Jonathan Taplin,2017,3.59,320
The Unbearable Lightness of Being,Milan Kundera,2009,4.1,314
Acid for the Children,Flea,2019,4.08,390
"F*ck No!: How to Stop Saying Yes When You Can't, You Shouldn't, or You Just Don't Want To (A No F*cks Given Guide, 5)",Sarah Knight,2019,3.67,304
Sweat the Technique: Revelations on Creativity from the Lyrical Genius,Rakim,2019,4.06,272
Five Stars: The Communication Secrets to Get from Good to Great,Carmine Gallo,2018,3.93,256
"Great by Choice: Uncertainty, Chaos, and Luck—Why Some Thrive Despite Them All",Jim Collins,2011,4.11,183
The Sales Mastery Academy: The Selling Difference: From Prospecting to Closing (Made for Success Collection),Made for Success,2011,4.19,9
The Teachings of Don Juan: A Yaqui Way of Knowledge,Carlos Castaneda,1983,3.93,288
The End of White Christian America,Robert P. Jones,2016,3.95,320
The Authenticity Project,Clare Pooley,2020,3.94,400
Leadership Strategy and Tactics: Field Manual,Jocko Willink,2020,4.4,312
No Is Not Enough: Resisting Trump’s Shock Politics and Winning the World We Need,Naomi Klein,2017,4.1,273
Normal People,Sally Rooney,2019,3.81,273
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,2012,4.13,375
Eleanor Oliphant Is Completely Fine,Gail Honeyman,2017,4.23,336
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,2013,4.16,327
A Peculiar Indifference: The Neglected Toll of Violence on Black America,Elliott Currie,2020,4.03,288
It Was All a Lie: How the Republican Party Became Donald Trump,Stuart Stevens,2020,4.12,256
No One Is Talking About This,Patricia Lockwood,2021,3.55,210
"The Lazy Genius Way: Embrace What Matters, Ditch What Doesn't, and Get Stuff Done",Kendra Adachi,2020,4.11,240
My Wife Said You May Want to Marry Me,Jason B. Rosenthal,2020,3.73,240
How to Disappear: Notes on Invisibility in a Time of Transparency,Akiko Busch,2019,3.31,224
Greenlights,Matthew McConaughey,2020,4.2,289
How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill  Gates,2021,4.11,272
When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,2000,4.27,148
Tribe: On Homecoming and Belonging,Sebastian Junger,2016,4.02,182
The Book of Joy: Lasting Happiness in a Changing World,Dalai Lama XIV,2016,4.38,354
"The Art of the Start: The Time-Tested, Battle-Hardened Guide for Anyone Starting Anything",Guy Kawasaki,2004,3.9,226
Speed Reading Secrets of the World's Fastest Reader: How you could Double (or even triple) Your Reading Speed,Howard Stephen Berg,2014,3.08,
Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,2019,4.34,448
Nevertheless,Alec Baldwin,2017,3.42,288
Mindset: The New Psychology of Success,Carol S. Dweck,2006,4.09,276
"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",Ronan Farrow,2019,4.4,608
On the Road,Jack Kerouac,1976,3.61,307
"Listen, Liberal",Thomas  Frank,2016,4.18,0
The Moment of Lift: How Empowering Women Changes the World,Melinda French Gates,2019,4.27,273
"Alchemy: The Dark Art and Curious Science of Creating Magic in Brands, Business, and Life",Rory Sutherland,2021,4.21,384
The Power of Onlyness: Make Your Wild Ideas Mighty Enough to Dent the World,Nilofer Merchant,2017,3.81,304
This Is What America Looks Like: My Journey from Refugee to Congresswoman,Ilhan Omar,2020,4.25,288
I Think You're Wrong (But I'm Listening): A Guide to Grace-Filled Political Conversations,Sarah Stewart Holland,2019,4.07,205
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,2016,4.16,296
You're Not Listening: What You're Missing and Why It Matters,Kate   Murphy,2020,4.07,278
The Wrecking Crew: How Conservatives Rule,Thomas  Frank,2008,3.97,384
Just Kids,Patti Smith,2010,4.21,304
The End of Everything (Astrophysically Speaking),Katie  Mack,2020,4.25,226
How Democracies Die: What History Reveals About Our Future,Steven Levitsky,2018,4.16,320
Evicted: Poverty and Profit in the American City,Matthew Desmond,2016,4.47,418
"Finding My Voice: When the Perfect Plan Crumbles, the Adventure Begins",Valerie Jarrett,2019,4.11,315
It's a Long Story: My Life,Willie Nelson,2015,4.13,400
101 Essays That Will Change The Way You Think,Brianna Wiest,2016,3.72,450
Recursion,Blake Crouch,2019,4.16,329
Power Speed-Reading Performance System: Laugh While You Learn to Read Faster (Made for Success Collections),Made for Success,2012,1.91,0
Dying of Whiteness: How the Politics of Racial Resentment Is Killing America's Heartland,Jonathan M. Metzl,2019,4.11,341
Stalling for Time: My Life as an FBI Hostage Negotiator,Gary Noesner,2010,3.93,372
Let Them Eat Tweets: How the Right Rules in an Age of Extreme Inequality,Jacob S. Hacker,2020,4.09,288
A Warning,Anonymous,2019,3.93,259
Unlimited Power: A Black Choice,Anthony Robbins,1997,4.2,0
Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,2017,4.05,336
"Do Nothing: How to Break Away from Overworking, Overdoing, and Underliving",Celeste Headlee,2020,3.85,288
Parkland,Dave Cullen,2019,3.96,385
The Startup Way: How Modern Companies Use Entrepreneurial Management to Transform Culture and Drive Long-Term Growth,Eric Ries,2017,3.98,400
Urban Tantra: Sacred Sex for the Twenty-First Century,Barbara Carrellas,2007,3.98,304
The Joy of Missing Out: Live More by Doing Less,Tanya Dalton,2019,3.79,240
How to Do Nothing: Resisting the Attention Economy,Jenny Odell,2019,3.65,232
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,2015,4.25,320
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,2016,3.84,264
1000+ Little Things Happy Successful People Do Differently,Marc Chernoff,2019,3.7,368
The 48 Laws of Power,Robert Greene,2000,4.08,452
In Five Years,Rebecca Serle,2020,3.78,272
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,2012,4.29,287
"So, You're New to Sales (Made for Success Collection)",Bryan Flanagan,2011,3.82,0
Everything Is F*cked: A Book About Hope,Mark Manson,2019,3.67,288
Unshakeable: Your Financial Freedom Playbook,Anthony Robbins,2017,4.06,257
The E-myth Revisited,Michael E. Gerber,1995,4.07,269
Anne Frank: The Diary of a Young Girl,Anne Frank,2010,4.2,10
"The Heart of the Buddha's Teaching: Transforming Suffering into Peace, Joy, and Liberation",Thich Nhat Hanh,1999,4.33,294
The Office of Historical Corrections,Danielle  Evans,2020,4.16,269
Garbology: Our Dirty Love Affair with Trash,Edward Humes,2012,4.08,288
Die with Zero: Getting All You Can from Your Money and Your Life,Bill  Perkins,2020,3.89,240
Better Than Before: Mastering the Habits of Our Everyday Lives,Gretchen Rubin,2015,3.82,298
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,2011,3.88,307
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,Barbara Oakley,2017,3.87,304
Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump,2020,3.82,236
The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting up a Generation for Failure,Jonathan Haidt,2018,4.23,352
Magic for Liars,Sarah Gailey,2019,3.61,336
Moneyball,Michael   Lewis,2004,4.27,317
"Chasing Space: An Astronaut's Story of Grit, Grace, and Second Chances",Leland Melvin,2017,3.78,250
In Order to Live: A North Korean Girl's Journey to Freedom,Yeonmi Park,2015,4.48,273
American Grown: The Story of the White House Kitchen Garden and Gardens Across America,Michelle Obama,2012,3.94,272
The Threat: How the FBI Protects America in the Age of Terror and Trump,Andrew G. McCabe,2019,4.17,282
You Are the Universe: Discovering Your Cosmic Self and Why It Matters,Deepak Chopra,2017,3.58,
"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",Seth Stephens-Davidowitz,2017,3.91,338
Uncanny Valley,Anna Wiener,2020,3.63,281
A Life in Parts,Bryan Cranston,2016,4.2,276
The World Beyond Your Head: On Becoming an Individual in an Age of Distraction,Matthew B. Crawford,2015,3.78,257
"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,2018,4.16,304
"The Scientist and the Spy: A True Story of China, the FBI, and Industrial Espionage",Mara Hvistendahl,2020,3.56,336
"So You Want to Start a Podcast: Finding Your Voice, Telling Your Story, and Building a Community That Will Listen",Kristen Meinzer,2019,4,224
The Power of Significance,John C. Maxwell,2017,4.15,127
Minor Feelings: An Asian American Reckoning,Cathy Park Hong,2020,4.19,209
From Here to Eternity: Traveling the World to Find the Good Death,Caitlin Doughty,2018,4.3,256
Dare to Lead,Brené Brown,2018,4.17,332
How to Lead When You're Not in Charge: Leveraging Influence When You Lack Authority,Clay Scroggins,2017,3.72,214
Organize Tomorrow Today: 8 Ways to Retrain Your Mind to Optimize Performance at Work and in Life,Jason Selk,2015,4.02,240
Raise Your Game: High-Performance Secrets from the Best of the Best,Alan Stein Jr.,2019,4.1,304
Untamed,Glennon Doyle,2020,3.98,333
Fresh Off the Boat,Eddie Huang,2013,3.68,288
A Lucky Life Interrupted: A Memoir of Hope,Tom Brokaw,2015,3.88,240
The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,2019,4.4,
The Lean Startup,Eric Ries,2011,4.11,299
Talk Like TED: The 9 Public-Speaking Secrets of the World's Top Minds,Carmine Gallo,2017,3.88,363
The Effective Executive: The Definitive Guide to Getting the Right Things Done (Harperbusiness Essentials),Peter F. Drucker,2006,4.08,208
Unbelievable: My Front-Row Seat to the Craziest Campaign in American History,Katy Tur,2017,3.96,
Rising Out of Hatred: The Awakening of a Former White Nationalist,Eli Saslow,2018,4.41,291
This is Marketing: You Can't Be Seen Until You Learn To See,Seth Godin,2018,3.92,271
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,2013,3.97,305
For Small Creatures Such as We: Rituals for Finding Meaning in Our Unlikely World,Sasha Sagan,2019,4.1,275
Your Second Act: Inspiring Stories of Reinvention,Patricia Heaton,2020,3.76,272
The Healing Power of Mindfulness: A New Way of Being,Jon Kabat-Zinn,2018,3.79,256
"Love Your Life, Not Theirs: 7 Money Habits for Living the Life You Want",Rachel Cruze,2016,3.97,272
Is This Anything?,Jerry Seinfeld,2020,3.72,480
The Motivation Myth: How High Achievers Really Set Themselves Up to Win,Jeff Haden,2018,3.77,288
"The Hidden Life of Trees: What They Feel, How They Communicate: Discoveries from a Secret World",Peter Wohlleben,2016,4.06,272
Work Optional: Retire Early the Non-Penny-Pinching Way,Tanja Hester,2019,3.9,288
Contagious: Why Things Catch On,Jonah Berger,2013,3.98,210
Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,Eric Schmidt,2019,3.98,240
Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,2018,3.82,288
The Next Millionaire Next Door: Enduring Strategies for Building Wealth,Thomas J. Stanley,2018,3.63,272
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,1998,4.05,258
Brave New World,Aldous Huxley,2008,3.98,8
Einstein: His Life and Universe,Walter Isaacson,2007,4.17,675
"The System: Who Rigged It, How We Fix It",Robert B. Reich,2020,4.28,224
Change We Can Believe In: Barack Obama's Plan to Renew America's Promise,Obama for Change,2008,3.78,273
When to Rob a Bank: ...And 131 More Warped Suggestions and Well-Intended Rants,Steven D. Levitt,2015,3.53,387
Think Like a Freak,Steven D. Levitt,2014,3.86,293
"SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,2009,4,270
"The Rainbow Comes and Goes: A Mother and Son on Life, Love, and Loss",Anderson Cooper,2016,3.92,320
The Higgs Boson and Beyond,Sean Carroll,2015,4.1,6
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,2016,4.46,400
Into the Wild,Jon Krakauer,1997,4.02,207
The Path to Enlightenment,Dalai Lama XIV,1994,4.11,240
"Do the Work: The Official Unrepentant, Ass-Kicking, No-Kidding, Change-Your-Life Sidekick to Unfu*k Yourself",Gary John Bishop,2019,3.8,1
Leaders: Myth and Reality,Stanley McChrystal,2018,3.77,480
The New Science of Getting Rich,Wallace D. Wattles,2007,4.13,208
Get Your Sh*t Together: How to Stop Worrying About What You Should Do So You Can Finish What You Need to Do and Start Doing What You Want to Do (A No F*cks Given Guide),Sarah Knight,2016,3.56,304
For the Benefit of All Beings: A Commentary on the Way of the Bodhisattva,Dalai Lama XIV,2009,4.37,0
Leadership and Self-Deception: Getting Out of the Box,The Arbinger Institute,2002,4.1,192
A Call for Revolution: A Vision for the Future,Dalai Lama XIV,2018,4.07,
"The Art of Noticing: 131 Ways to Spark Creativity, Find Inspiration, and Discover Joy in the Everyday",Rob  Walker,2019,3.77,256
Happy Money: The Japanese Art of Making Peace with Your Money,Ken Honda,2019,3.99,240
Built to Last: Successful Habits of Visionary Companies,Jim Collins,2004,4.06,368
Get Out of Your Own Way: A Skeptic's Guide to Growth and Fulfillment,Dave Hollis,2020,3.8,240
The Room Where It Happened: A White House Memoir,John       Bolton,2020,3.17,588
Looking for Alaska,John Green,2006,3.96,221
The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer,2007,4.2,183
My Own Words,Ruth Bader Ginsburg,2016,4.03,400
Benjamin Franklin: An American Life,Walter Isaacson,2004,4.05,586
Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,2006,4.13,240
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,2018,4.4,339
1984,George Orwell,2004,4.2,12
Orange Is the New Black: My Year in a Women's Prison,Piper Kerman,2012,3.72,327
Stillness Is the Key,Ryan Holiday,2019,4.22,288
Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,2012,4.1,426
The Dharma Bums,Jack Kerouac,1986,3.93,244
All You Can Ever Know,Nicole Chung,2018,3.85,240
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,2017,3.84,240
The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,2018,4.24,304
"Smart People Should Build Things: How to Restore Our Culture of Achievement, Build a Path for Entrepreneurs, and Create New Jobs in America",Andrew   Yang,2014,3.79,272
The Power of Myth,Joseph Campbell,1988,4.26,293
The thank you economy,Gary Vaynerchuk,2011,3.84,256
Be Angry (The Dalai Lama’s Be Inspired),Noriyuki Ueda,2019,3.47,122
Replay: A Novel,Ken Grimwood,1998,4.15,311
The Truth Machine: The Blockchain and the Future of Everything,Michael J. Casey,2018,3.67,320
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,2005,4.04,498
The Soul of Leadership: Unlocking Your Potential for Greatness,Deepak Chopra,2010,3.79,224
"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,2007,4.22,193
"How Happiness Happens: Finding Lasting Joy in a World of Comparison, Disappointment, and Unmet Expectations",Max Lucado,2019,4.24,208
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,2013,3.95,254
A Confederacy Of Dunces,John Kennedy Toole,2005,3.89,14
The Answer Is…: Reflections on My Life,Alex Trebek,2020,4.2,304
Then We Came to the End,Joshua Ferris,2007,3.47,387
Advice Not Given: A Guide to Getting Over Yourself,Mark Epstein,2018,3.81,224
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,2009,3.95,242
Principles: Life and Work,Ray Dalio,2017,4.1,16
Man's Search for Meaning: An Introduction to Logotherapy,Viktor E. Frankl,1984,4.37,192
We Should All Be Feminists,Chimamanda Ngozi Adichie,2014,4.39,52
Calypso,David Sedaris,2018,4.1,272
"Nonviolent Communication: Create Your Life, Your Relationships, and Your World in Harmony with Your Values",Marshall B. Rosenberg,2015,4.33,
"So Here’s the Thing…: Notes on Growing Up, Getting Older, and Trusting Your Gut",Alyssa Mastromonaco,2019,3.73,240
"The Innovators: How a Group of Hackers, Geniuses and Geeks Created the Digital Revolution",Walter Isaacson,2014,4.12,542
When Breath Becomes Air,Paul Kalanithi,2016,4.41,208
Educated,Tara Westover,2018,4.46,352
When: The Scientific Secrets of Perfect Timing,Daniel H. Pink,2018,3.79,272
Seinfeldia: How a Show About Nothing Changed Everything,Jennifer Keishin Armstrong,2016,3.72,307
The Singularity is Near: When Humans Transcend Biology,Ray Kurzweil,2006,3.93,652
Why Buddhism Is True: The Science and Philosophy of Meditation and Enlightenment,Robert Wright,2017,4.02,368
"Give People Money: How a Universal Basic Income Would End Poverty, Revolutionize Work, and Remake the World",Annie Lowrey,2018,3.84,
The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,Shoshana Zuboff,2019,4.05,
"Stealing Fire: How Silicon Valley, the Navy SEALs, and Maverick Scientists Are Revolutionizing the Way We Live and Work",Steven Kotler,2017,3.93,0
Democracy in Chains: The Deep History of the Radical Right's Stealth Plan for America,Nancy MacLean,2017,4.29,
The Subtle Art of Not Giving a F*ck,Mark Manson,2016,3.86,224
Bullshit Jobs: A Theory,David Graeber,2018,4.02,335
Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,2016,3.87,7
Who Moved My Cheese?,Spencer Johnson,2002,3.87,98
The Truths We Hold: An American Journey,Kamala Harris,2019,4.05,336
Give and Take: A Revolutionary Approach to Success,Adam M. Grant,2013,4.07,320
The Art of Living: Peace and Freedom in the Here and Now,Thich Nhat Hanh,2017,4.44,0
"Everybody, Always: Becoming Love in a World Full of Setbacks and Difficult People",Bob       Goff,2018,4.44,240
Dear America: Notes of an Undocumented Citizen,Jose Antonio Vargas,2018,4.32,256
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,2018,4.32,319
Sacred Contracts: Awakening Your Divine Potential,Caroline Myss,2003,4.01,442
Black Elk Speaks: Being the Life Story of a Holy Man of the Oglala Sioux,John G. Neihardt,2005,4.12,312
How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,2014,4.12,293
"Dream Hoarders: How the American Upper Middle Class Is Leaving Everyone Else in the Dust, Why That Is a Problem, and What to Do About It",Richard V. Reeves,2017,3.72,240
The Rules Do Not Apply,Ariel Levy,,3.7,
Mentors: How to Help and Be Helped,Russell Brand,2019,3.68,177
One Minute Mentoring: How to Find and Work With a Mentor--And Why You'll Benefit from Being One,Kenneth H. Blanchard,2017,3.71,165
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,2015,4.12,392
I Contain Multitudes: The Microbes Within Us and a Grander View of Life,Ed Yong,2016,4.17,10
Permanent Record,Edward Snowden,2019,4.3,0
Hamilton: The Revolution,Lin-Manuel Miranda,2016,4.45,6
The War on Normal People: The Truth About America's Disappearing Jobs and Why Universal Basic Income Is Our Future,Andrew   Yang,2018,4.25,
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,2005,4.28,
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,2012,4.07,13
The Art of War,Sun Tzu,2016,3.94,
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,2015,3.88,5
Real Artists Don't Starve: Timeless Strategies for Thriving in the New Creative Age,Jeff Goins,,3.98,
What I Know for Sure,Oprah Winfrey,2014,4.13,0
"The Art of Asking; or, How I Learned to Stop Worrying and Let People Help",Amanda Palmer,2014,3.91,339
Stop Doing That Sh*t: End Self-Sabotage and Demand Your Life Back,Gary John Bishop,2019,3.83,
A Different Mirror: A History of Multicultural America,Ronald Takaki,1993,4.18,508
The American Spirit: Who We Are and What We Stand For,David McCullough,2017,4.22,176
"Wanderers (Wanderers, #1)",Chuck Wendig,2019,3.98,845
The Life-Changing Magic of Not Giving a F*ck: How to Stop Spending Time You Don't Have with People You Don't Like Doing Things You Don't Want to Do (A No F*cks Given Guide),Sarah Knight,2015,3.4,209
In Defense of Food: An Eater's Manifesto,Michael Pollan,2008,4.07,205
The Physics of Everyday Things: The Extraordinary Science Behind an Ordinary Day,James Kakalios,2017,3.35,256
Silence: The Power of Quiet in a World Full of Noise,Thich Nhat Hanh,2015,4.28,189
The Miracle of Mindfulness: An Introduction to the Practice of Meditation,Thich Nhat Hanh,1999,4.19,140
Happiness: Essential Mindfulness Practices,Thich Nhat Hanh,2015,4.09,5
"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck,1978,4.08,320
Successful Aging: A Neuroscientist Explores the Power and Potential of Our Lives,Daniel J. Levitin,2020,3.93,528
No One Is Too Small to Make a Difference,Greta Thunberg,2019,3.85,2
Blowout,Rachel Maddow,2019,4.34,400
Know My Name,Chanel Miller,2019,4.68,384
"Seduction: Sex, Lies, and Stardom in Howard Hughes's Hollywood",Karina Longworth,2018,4.08,565
Fantasyland: How America Went Haywire: A 500-Year History,Kurt Andersen,2017,4.08,16
The Fountainhead,Ayn Rand,2007,3.89,
The 22 Immutable Laws of Marketing,Al Ries,2014,4.05,143
Peace Is Every Breath: A Practice for Our Busy Lives,Thich Nhat Hanh,2011,4.14,160
The Artist's Way: A Spiritual Path to Higher Creativity,Julia Cameron,2005,3.96,
The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail (Management of Innovation and Change),Clayton M. Christensen,2013,4.04,355
"The Art of Mindful Living: How to Bring Love, Compassion, and Inner Peace into Your Daily Life",Thich Nhat Hanh,2000,4.19,0
Life,Keith Richards,2010,3.9,576
True Love: A Practice for Awakening the Heart,Thich Nhat Hanh,2009,4.27,0
In-Flight Korean: Learn Before You Land,Living Language,2001,2.47,20
"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,2018,4.06,416
America (The Book): A Citizen's Guide to Democracy Inaction,Jon   Stewart,2004,4.01,228
The Intelligent Investor,Benjamin Graham,2006,4.23,623
Aristotle in 90 Minutes,Paul Strathern,1996,3.32,1
The Wisdom of Crowds,James Surowiecki,2005,3.82,306
God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,2007,3.96,307
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,2006,3.69,593
Personal Finance for Dummies,Eric Tyson,2019,3.82,
Unfu*k Yourself: Get Out of Your Head and into Your Life,Gary John Bishop,2017,3.83,4
American Dirt,Jeanine Cummins,2020,4.37,459
True Compass: A Memoir,Edward M. Kennedy,2009,4,532
A Fighting Chance,Elizabeth Warren,2014,4.15,365
Recession Proof Graduate: How to Land the Job You Want by Doing Free Work,Charlie Hoehn,2014,3.51,83
We Are All Weird: The Myth of Mass and The End of Compliance,Seth Godin,2011,3.55,1
Awaken The Giant Within,Anthony Robbins,2000,4.15,
The Mueller Report: Presented with Related Materials by The Washington Post,The Washington Post,2019,4.18,1171
The Art of Communicating,Thich Nhat Hanh,2013,4.11,176
American Gods,Neil Gaiman,2011,4.1,20
The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,1975,4.53,1246
The Education of an Idealist: A Memoir,Samantha Power,2019,4.34,592
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J. Seifer,2001,3.73,542
Conscious Uncoupling: 5 Steps to Living Happily Even After,Katherine Woodward Thomas,2015,4.19,320
This Changes Everything: Capitalism vs. The Climate,Naomi Klein,2014,4.16,566
Peace Is Every Step: The Path of Mindfulness in Everyday Life,Thich Nhat Hanh,1992,4.3,157
Every Day is Extra,John  Kerry,2018,3.97,640
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,2018,4.2,576
Crushing It!: How Great Entrepreneurs Build Their Business and Influence and How You Can Too – A State-of-the-Art Guide to Personal Branding and Social Media,Gary Vaynerchuk,2018,3.95,293
Robin,Dave Itzkoff,2018,4.12,527
The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations,Oprah Winfrey,2017,4.29,240
7 Lessons from Heaven: How Dying Taught Me to Live a Joy-Filled Life,Mary C. Neal,2017,4.15,276
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,2000,3.9,304
Talking to Strangers: What We Should Know About the People We Don't Know,Malcolm Gladwell,2019,4,388
If You Ask Me (And of Course You Won't),Betty   White,2011,3.79,258
Notorious RBG: The Life and Times of Ruth Bader Ginsburg,Irin Carmon,2015,4.18,227
"I Might Regret This: Essays, Drawings, Vulnerabilities, and Other Stuff",Abbi Jacobson,2018,3.81,320
The World As It Is: Inside the Obama White House,Ben  Rhodes,2018,4.3,480
Sapiens: A Brief History of Humankind,Yuval Noah Harari,2015,4.33,512
So Much I Want to Tell You: Letters to My Little Sister,Anna Akana,2017,3.85,208
Uncommon Type,Tom Hanks,2017,3.42,405
Gratitude,Oliver Sacks,2015,4.17,49
MEDITATIONS: BY MARCUS AURELIUS,Marcus Aurelius,2017,4.28,150
How to Talk to Anyone: 62 Little Tricks for Big Success in Relationships,Leil Lowndes,2014,2.28,
Falter: Has the Human Game Begun to Play Itself Out?,Bill McKibben,2019,4,291
Who Thought This Was a Good Idea?: And Other Questions You Should Have Answers to When You Work in the White House,Alyssa Mastromonaco,2017,3.92,244
Shortest Way Home: One Mayor's Challenge and a Model for America's Future,Pete Buttigieg,2019,4.21,352
"Thanks, Obama: My Hopey, Changey White House Years",David Litt,2017,4.08,320
The Lost Art of Good Conversation: A Mindful Way to Connect with Others and Enrich Everyday Life,Sakyong Mipham,2017,3.57,240
Things My Son Needs to Know About the World,Fredrik Backman,2019,3.99,208
"Dear Girls: Intimate Tales, Untold Secrets, & Advice for Living Your Best Life",Ali Wong,2019,3.83,240
The Beginner's Guide to the Chakras,Anodea Judith,2002,3.58,2
"Walden or, Life in the Woods",Henry David Thoreau,2004,3.77,352
Aesop’s Fables,Aesop,2003,4.05,352
Common Sense,Thomas Paine,2005,4,104
On the Duty of Civil Disobedience,Henry David Thoreau,2006,3.94,240
Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,Jane Mayer,2016,4.31,464
"Bitcoin Billionaires: A True Story of Genius, Betrayal, and Redemption",Ben Mezrich,2019,3.98,288
Seven Brief Lessons on Physics,Carlo Rovelli,2016,3.98,81
The Communist Manifesto,Karl Marx,2002,3.69,288
An Inquiry into the Nature and Causes of the Wealth of Nations,Adam Smith,1977,3.89,1076
Islam and the Future of Tolerance: A Dialogue,Sam Harris,2015,4.02,138
Influence: The Psychology of Persuasion,Robert B. Cialdini,2006,4.21,320
Paddle Your Own Canoe: One Man's Fundamentals for Delicious Living,Nick Offerman,2013,3.72,340
Revolution,Russell Brand,2014,3.66,320
"What To Do When Machines Do Everything: How to Get Ahead in a World of AI, Algorithms, Bots, and Big Data",Malcolm Frank,2017,3.57,225
Worse Than Watergate: The Secret Presidency of George W. Bush,John W. Dean,2004,3.8,272
Fire and Fury: Inside the Trump White House,Michael  Wolff,2018,3.44,322
Our Revolution: A Future to Believe In,Bernie Sanders,2016,4.23,
All the White Friends I Couldn't Keep: Hope—And Hard Pills to Swallow—About Fighting for Black Lives,Andre Henry,2022,4.42,288
The Message,Ta-Nehisi Coates,2024,4.49,232
Why Did No One Tell Me This?: The Doulas' (Honest) Guide for Expectant Parents,Natalia Hailes,2020,4.18,272
Erasing History: How Fascists Rewrite the Past to Control the Future,Jason F. Stanley,2024,4.29,256
